bla,x,y,z
0,20,18,0
1,20,29,0
2,21,439,0
3,21,450,0
4,25,18,0
5,25,29,0
6,26,131,0
7,26,136,0
8,26,141,0
9,26,146,0
10,26,151,0
11,26,156,0
12,26,161,0
13,26,166,0
14,26,171,0
15,26,176,0
16,26,181,0
17,26,186,0
18,26,191,0
19,26,196,0
20,26,201,0
21,26,206,0
22,26,211,0
23,26,216,0
24,26,221,0
25,26,226,0
26,26,231,0
27,26,439,0
28,26,450,0
29,30,18,0
30,30,29,0
31,31,439,0
32,31,450,0
33,35,18,0
34,35,29,0
35,36,439,0
36,36,450,0
37,37,131,0
38,37,136,0
39,37,141,0
40,37,146,0
41,37,151,0
42,37,156,0
43,37,161,0
44,37,166,0
45,37,171,0
46,37,176,0
47,37,181,0
48,37,186,0
49,37,191,0
50,37,196,0
51,37,201,0
52,37,206,0
53,37,211,0
54,37,216,0
55,37,221,0
56,37,226,0
57,37,231,0
58,38,236,0
59,40,18,0
60,40,29,0
61,40,126,0
62,41,439,0
63,41,450,0
64,43,238,0
65,45,18,0
66,45,29,0
67,45,121,0
68,46,439,0
69,46,450,0
70,48,240,0
71,50,18,0
72,50,29,0
73,50,108,0
74,50,119,0
75,51,439,0
76,51,450,0
77,53,242,0
78,55,18,0
79,55,29,0
80,55,108,0
81,55,119,0
82,56,439,0
83,56,450,0
84,58,244,0
85,60,18,0
86,60,29,0
87,60,108,0
88,60,119,0
89,61,439,0
90,61,450,0
91,63,249,0
92,64,254,0
93,65,18,0
94,65,29,0
95,65,108,0
96,65,119,0
97,65,259,0
98,65,264,0
99,65,269,0
100,66,274,0
101,66,439,0
102,66,450,0
103,69,278,0
104,70,18,0
105,70,29,0
106,70,108,0
107,70,119,0
108,71,439,0
109,71,450,0
110,72,281,0
111,75,18,0
112,75,29,0
113,75,108,0
114,75,119,0
115,76,439,0
116,76,450,0
117,77,283,0
118,80,18,0
119,80,29,0
120,80,108,0
121,80,119,0
122,81,439,0
123,81,450,0
124,82,285,0
125,85,18,0
126,85,29,0
127,85,108,0
128,85,119,0
129,86,439,0
130,86,450,0
131,87,287,0
132,90,18,0
133,90,29,0
134,90,108,0
135,90,119,0
136,91,439,0
137,91,450,0
138,92,289,0
139,95,18,0
140,95,29,0
141,95,108,0
142,95,119,0
143,96,439,0
144,96,450,0
145,97,293,0
146,100,18,0
147,100,29,0
148,100,108,0
149,100,119,0
150,101,298,0
151,101,303,0
152,101,308,0
153,101,439,0
154,101,450,0
155,102,313,0
156,103,318,0
157,105,18,0
158,105,29,0
159,105,108,0
160,105,119,0
161,106,322,0
162,106,439,0
163,106,450,0
164,110,18,0
165,110,29,0
166,110,108,0
167,110,119,0
168,111,325,0
169,111,439,0
170,111,450,0
171,115,18,0
172,115,29,0
173,115,108,0
174,115,119,0
175,116,326,0
176,116,439,0
177,116,450,0
178,120,18,0
179,120,29,0
180,120,108,0
181,120,119,0
182,121,328,0
183,121,439,0
184,121,450,0
185,125,18,0
186,125,29,0
187,125,108,0
188,125,119,0
189,126,330,0
190,126,439,0
191,126,450,0
192,130,18,0
193,130,29,0
194,130,108,0
195,130,119,0
196,131,333,0
197,131,439,0
198,131,450,0
199,135,18,0
200,135,29,0
201,135,108,0
202,135,119,0
203,135,337,0
204,136,439,0
205,136,450,0
206,137,342,0
207,138,347,0
208,139,352,0
209,140,18,0
210,140,29,0
211,140,108,0
212,140,119,0
213,140,357,0
214,141,439,0
215,141,450,0
216,145,18,0
217,145,29,0
218,145,108,0
219,145,119,0
220,145,359,0
221,145,370,0
222,146,439,0
223,146,450,0
224,150,18,0
225,150,29,0
226,150,108,0
227,150,119,0
228,150,360,0
229,151,439,0
230,151,450,0
231,155,18,0
232,155,29,0
233,155,108,0
234,155,119,0
235,155,360,0
236,156,439,0
237,156,450,0
238,160,18,0
239,160,29,0
240,160,108,0
241,160,119,0
242,160,361,0
243,161,439,0
244,161,450,0
245,165,18,0
246,165,29,0
247,165,108,0
248,165,119,0
249,165,361,0
250,166,439,0
251,166,450,0
252,170,18,0
253,170,29,0
254,170,108,0
255,170,119,0
256,170,362,0
257,171,439,0
258,171,450,0
259,175,18,0
260,175,29,0
261,175,108,0
262,175,119,0
263,175,363,0
264,176,439,0
265,176,450,0
266,180,18,0
267,180,29,0
268,180,108,0
269,180,119,0
270,180,364,0
271,181,439,0
272,181,450,0
273,185,18,0
274,185,29,0
275,185,108,0
276,185,119,0
277,185,364,0
278,186,439,0
279,186,450,0
280,190,18,0
281,190,29,0
282,190,108,0
283,190,119,0
284,190,365,0
285,191,439,0
286,191,450,0
287,195,18,0
288,195,29,0
289,195,108,0
290,195,119,0
291,195,367,0
292,196,437,0
293,196,449,0
294,200,18,0
295,200,29,0
296,200,108,0
297,200,119,0
298,200,368,0
299,201,434,0
300,201,447,0
301,205,18,0
302,205,29,0
303,205,108,0
304,205,119,0
305,205,370,0
306,206,430,0
307,206,446,0
308,209,373,0
309,209,424,0
310,209,443,0
311,210,18,0
312,210,29,0
313,210,108,0
314,210,119,0
315,211,417,0
316,213,376,0
317,213,439,0
318,215,18,0
319,215,29,0
320,215,108,0
321,215,119,0
322,217,381,0
323,217,435,0
324,219,385,0
325,220,18,0
326,220,29,0
327,220,108,0
328,220,119,0
329,220,430,0
330,221,390,0
331,222,425,0
332,223,395,0
333,224,400,0
334,225,18,0
335,225,29,0
336,225,108,0
337,225,119,0
338,225,405,0
339,225,410,0
340,225,415,0
341,225,420,0
342,230,18,0
343,230,29,0
344,230,108,0
345,230,119,0
346,235,19,0
347,235,30,0
348,235,108,0
349,235,119,0
350,240,20,0
351,240,107,0
352,240,118,0
353,245,22,0
354,245,117,0
355,250,24,0
356,250,115,0
357,254,112,0
358,255,28,0
359,257,108,0
360,258,33,0
361,260,103,0
362,261,38,0
363,263,98,0
364,264,43,0
365,264,93,0
366,266,48,0
367,266,88,0
368,267,53,0
369,267,83,0
370,268,58,0
371,268,63,0
372,268,68,0
373,268,73,0
374,268,78,0
375,,,0
